root@Comp3134-Winter2025-lamp-ubuntu:~# ping 8.8.8.8
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=59 time=4.01 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=59 time=0.858 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=59 time=0.332 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=59 time=0.344 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=59 time=0.313 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=59 time=0.285 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=59 time=0.298 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=59 time=0.315 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=59 time=0.343 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=59 time=0.300 ms
