08:19:08.353627 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [P.], seq 613:649, ack 6088, win 1019, length 36
08:19:08.353795 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 6088:6124, ack 649, win 558, length 36
08:19:08.376964 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 6124:6272, ack 649, win 558, length 148
08:19:08.377148 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 6272:7084, ack 649, win 558, length 812
08:19:08.383739 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [.], ack 7084, win 1023, length 0
08:19:08.385775 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [P.], seq 649:685, ack 7084, win 1023, length 36
08:19:08.385944 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 7084:7120, ack 685, win 558, length 36
08:19:08.416676 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [P.], seq 685:721, ack 7120, win 1023, length 36
08:19:08.416876 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 7120:7156, ack 721, win 558, length 36
08:19:08.464629 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [P.], seq 721:757, ack 7156, win 1023, length 36
08:19:08.464821 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 7156:7192, ack 757, win 558, length 36
08:19:08.481011 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 7192:8236, ack 757, win 558, length 1044
08:19:08.486612 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [.], ack 8236, win 1019, length 0
08:19:08.497742 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [P.], seq 757:793, ack 8236, win 1019, length 36
08:19:08.497921 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 8236:8272, ack 793, win 558, length 36
08:19:08.528616 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [P.], seq 793:829, ack 8272, win 1019, length 36
08:19:08.528806 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 8272:8308, ack 829, win 558, length 36
08:19:08.559804 IP 76.69.9.174.57126 > 134.122.47.53.22: Flags [P.], seq 829:865, ack 8308, win 1019, length 36
08:19:08.560005 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 8308:8344, ack 865, win 558, length 36
08:19:08.584975 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 8344:8500, ack 865, win 558, length 156
08:19:08.585249 IP 134.122.47.53.22 > 76.69.9.174.57126: Flags [P.], seq 8500:9312, ack 865, win 558, length 812
